,input_size,kernel_num,dense_size,dropout,lr,batch_size,kernel_size,pool_size,epochs,dense_num,conv_size,l2_regularization,seed,val_corr,val_corr_std,val_mse,val_mse_std
0,90,2,"[32, 128, 128]","[0.1, 0.5, 0.1, 0.2, 0.2, 0.2]",0.001,64,"[32, 42, 87]","[36, 29, 4]",8,1,"[64, 32, 32]","[0.0005, 0.005, 0.01]",9940,0.6733512756312082,0.031355469523062944,0.2881947653167312,0.021980998901840722
1,80,3,"[16, 32, 128]","[0.5, 0.3, 0.5, 0.2, 0.1, 0.1]",0.0005,32,"[26, 46, 57]","[27, 29, 8]",5,1,"[32, 16, 64]","[0.0005, 0.001, 0.005]",5695,0.7564611555456202,0.0021376887556772816,0.23291581450056817,0.005846354948066329
2,120,2,"[32, 16, 16]","[0.3, 0.3, 0.2, 0.1, 0.3, 0.4]",0.0005,32,"[51, 119, 113]","[64, 1, 5]",9,2,"[128, 16, 32]","[0.0005, 0.0005, 0.0005]",9584,0.7466427791591818,0.009275461882387369,0.2336259771832557,0.004791871021524823
3,120,3,"[128, 128, 32]","[0.5, 0.4, 0.1, 0.4, 0.1, 0.1]",0.0005,16,"[8, 46, 13]","[20, 14, 78]",8,2,"[32, 128, 128]","[0.0001, 0.0005, 0.001]",5381,0.7260575213660863,0.019496703804084553,0.2859424307067014,0.03737079761488519
4,90,3,"[32, 64, 16]","[0.2, 0.5, 0.5, 0.4, 0.1, 0.1]",0.001,128,"[33, 39, 13]","[3, 39, 71]",2,2,"[32, 128, 32]","[0.001, 0.0001, 0.0005]",1307,0.7540360096980994,0.005473095492862719,0.23729349072777597,0.006098370237609698
5,100,2,"[32, 16, 64]","[0.4, 0.5, 0.4, 0.4, 0.5, 0.2]",0.001,64,"[16, 82, 82]","[1, 7, 14]",7,2,"[32, 16, 128]","[0.01, 0.01, 0.001]",6950,0.747012678388201,0.0052348250217939644,0.25955092358868903,0.012610936877789436
6,100,3,"[64, 128, 64]","[0.5, 0.4, 0.5, 0.3, 0.4, 0.4]",0.001,64,"[94, 37, 63]","[4, 62, 38]",8,1,"[64, 128, 32]","[0.0001, 0.0005, 0.0001]",268,0.7551225170941347,0.004271444143446979,0.23573840564206394,0.008690648987560659
7,120,3,"[64, 16, 128]","[0.5, 0.3, 0.3, 0.5, 0.2, 0.2]",0.005,64,"[14, 73, 103]","[105, 4, 8]",2,2,"[32, 128, 16]","[0.0005, 0.005, 0.001]",9409,0.0,0.0,0.0,0.0
8,100,3,"[64, 16, 16]","[0.1, 0.5, 0.3, 0.4, 0.3, 0.5]",0.005,32,"[17, 79, 46]","[22, 1, 47]",9,2,"[16, 128, 128]","[0.0001, 0.001, 0.01]",2385,0.0,0.0,0.0,0.0
9,140,3,"[128, 128, 128]","[0.5, 0.2, 0.3, 0.4, 0.3, 0.5]",0.0001,128,"[101, 51, 26]","[28, 83, 20]",1,1,"[32, 128, 64]","[0.0001, 0.0005, 0.01]",5095,0.5892058416805237,0.02132073005047848,0.40576634285254504,0.00746767177621959
10,100,1,"[32, 16, 64]","[0.2, 0.3, 0.1, 0.4, 0.5, 0.4]",0.01,64,"[99, 26, 64]","[1, 22, 26]",8,2,"[16, 32, 32]","[0.0001, 0.0005, 0.005]",6498,0.5840863003922443,0.12772634117559414,0.3696389608116762,0.04112451027594844
11,80,1,"[16, 128, 64]","[0.3, 0.5, 0.1, 0.3, 0.5, 0.5]",0.0005,32,"[70, 39, 3]","[11, 11, 50]",4,1,"[128, 16, 128]","[0.0001, 0.005, 0.001]",9145,0.7353397113067447,0.009936246775276913,0.24952824207604632,0.020264268793447514
12,70,1,"[128, 16, 16]","[0.4, 0.3, 0.2, 0.1, 0.3, 0.3]",0.0005,32,"[4, 28, 18]","[38, 13, 16]",4,2,"[128, 16, 32]","[0.01, 0.01, 0.01]",6313,0.38662645427371495,0.009234593468587836,0.44751914093691664,0.006038289749909872
13,80,1,"[128, 32, 128]","[0.1, 0.5, 0.2, 0.1, 0.4, 0.5]",0.0005,128,"[44, 25, 6]","[26, 41, 59]",8,2,"[16, 32, 64]","[0.001, 0.005, 0.01]",4556,0.7068262855309418,0.007876897189447552,0.2570910356168071,0.005961055333996306
14,80,3,"[64, 32, 16]","[0.5, 0.1, 0.3, 0.5, 0.3, 0.1]",0.0001,64,"[68, 56, 67]","[3, 23, 1]",1,1,"[32, 16, 32]","[0.005, 0.001, 0.0005]",8458,0.6983550200656631,0.017579608115777055,0.2870810240563591,0.01107783471866029
15,80,2,"[64, 128, 128]","[0.2, 0.2, 0.1, 0.4, 0.5, 0.2]",0.0005,32,"[45, 66, 62]","[10, 1, 16]",7,1,"[128, 64, 32]","[0.0005, 0.0001, 0.001]",2446,0.7482971136187319,0.009999096466188557,0.2337630917702215,0.00995498915052167
16,120,3,"[64, 32, 16]","[0.4, 0.1, 0.3, 0.5, 0.5, 0.1]",0.0005,16,"[118, 91, 94]","[1, 5, 2]",1,2,"[128, 32, 128]","[0.0001, 0.01, 0.01]",7009,0.7093813258576892,0.01700819506404993,0.3628140313196597,0.038619107127970724
17,110,1,"[32, 128, 32]","[0.2, 0.2, 0.4, 0.2, 0.5, 0.5]",0.0005,128,"[102, 26, 10]","[9, 20, 78]",9,1,"[16, 128, 128]","[0.01, 0.005, 0.01]",6013,0.7198065651355368,0.006802456777465542,0.25096239376897655,0.007029590941957449
18,130,3,"[32, 32, 64]","[0.3, 0.5, 0.3, 0.2, 0.1, 0.4]",0.0005,64,"[89, 3, 85]","[19, 13, 27]",5,2,"[32, 16, 128]","[0.0005, 0.01, 0.01]",6206,0.7244743849873938,0.005187754648554514,0.24825482317221512,0.004363053668358321
19,80,1,"[64, 128, 16]","[0.4, 0.1, 0.4, 0.4, 0.2, 0.4]",0.01,128,"[60, 74, 65]","[14, 3, 5]",8,1,"[32, 128, 128]","[0.0001, 0.0005, 0.0005]",9799,0.7312039992813801,0.006840533306974201,0.24487093542624971,0.005082500942249927
20,70,3,"[64, 128, 64]","[0.2, 0.2, 0.2, 0.3, 0.5, 0.2]",0.0001,16,"[6, 9, 23]","[54, 49, 20]",3,1,"[16, 32, 128]","[0.001, 0.01, 0.0001]",2321,0.7453026941290518,0.0022097129201111526,0.23526650873358412,0.001979446152903031
21,140,2,"[64, 16, 128]","[0.3, 0.3, 0.1, 0.2, 0.3, 0.1]",0.005,32,"[31, 133, 123]","[100, 5, 12]",6,2,"[64, 64, 128]","[0.01, 0.01, 0.0005]",5894,0.0,0.0,0.0,0.0
22,140,3,"[128, 128, 64]","[0.1, 0.2, 0.5, 0.2, 0.5, 0.3]",0.001,32,"[3, 111, 12]","[44, 6, 124]",6,2,"[16, 128, 32]","[0.005, 0.0001, 0.01]",4206,0.7220349337140655,0.010468743031167864,0.26661223199398676,0.0075896474881616575
23,140,1,"[16, 32, 32]","[0.2, 0.4, 0.4, 0.5, 0.2, 0.4]",0.005,128,"[107, 50, 61]","[24, 62, 17]",4,1,"[32, 32, 16]","[0.0005, 0.0001, 0.01]",9311,0.7213359240311131,0.012572706821284654,0.2685545254980205,0.01651186128819848
24,120,2,"[128, 32, 128]","[0.2, 0.4, 0.4, 0.4, 0.5, 0.1]",0.0005,16,"[33, 9, 15]","[9, 35, 32]",5,2,"[64, 64, 32]","[0.001, 0.0001, 0.005]",1940,0.7525582877029163,0.0053332004926362085,0.247217199703766,0.017448455987859376
25,130,3,"[16, 32, 32]","[0.4, 0.2, 0.4, 0.4, 0.1, 0.2]",0.01,64,"[70, 41, 16]","[29, 90, 95]",9,1,"[16, 16, 128]","[0.0001, 0.0005, 0.0001]",5088,0.0,0.0,0.0,0.0
26,120,2,"[32, 128, 64]","[0.3, 0.1, 0.3, 0.3, 0.3, 0.5]",0.01,64,"[82, 50, 42]","[30, 55, 52]",3,2,"[16, 32, 32]","[0.01, 0.0005, 0.001]",7048,0.0,0.0,0.0,0.0
27,110,1,"[64, 32, 32]","[0.1, 0.1, 0.5, 0.2, 0.5, 0.5]",0.0001,32,"[9, 75, 39]","[46, 30, 47]",5,2,"[16, 32, 64]","[0.01, 0.01, 0.0001]",3895,0.6206448650109676,0.010488549702180893,0.33728196245160574,0.005432375153334875
28,110,3,"[64, 16, 128]","[0.3, 0.4, 0.5, 0.1, 0.3, 0.3]",0.0005,128,"[38, 108, 70]","[63, 1, 24]",5,2,"[32, 32, 128]","[0.0005, 0.001, 0.001]",1491,0.7479055110186162,0.013173935159383369,0.2397598213461767,0.017226030429633728
29,80,2,"[128, 32, 32]","[0.5, 0.2, 0.1, 0.5, 0.5, 0.3]",0.005,64,"[75, 26, 77]","[6, 45, 1]",3,2,"[16, 64, 128]","[0.005, 0.0005, 0.01]",2201,0.712625801329104,0.030345039628927484,0.32579712300091,0.046991949407644
30,70,3,"[64, 32, 16]","[0.2, 0.4, 0.3, 0.5, 0.3, 0.1]",0.0005,32,"[20, 50, 3]","[31, 14, 53]",1,1,"[32, 64, 128]","[0.005, 0.0001, 0.0001]",3890,0.7335132569530319,0.0037551051086452286,0.2626373498065757,0.010265196121100563
31,120,3,"[32, 64, 16]","[0.5, 0.1, 0.2, 0.1, 0.2, 0.2]",0.001,32,"[97, 11, 64]","[14, 94, 4]",8,2,"[16, 32, 32]","[0.0001, 0.0001, 0.005]",2536,0.7575060642356112,0.00790064464994935,0.22612943590415283,0.009597706756680306
32,140,2,"[16, 32, 128]","[0.1, 0.3, 0.2, 0.4, 0.4, 0.3]",0.01,128,"[77, 13, 94]","[9, 21, 23]",9,2,"[16, 16, 32]","[0.005, 0.01, 0.005]",1253,0.0,0.0,0.0,0.0
33,110,1,"[128, 64, 64]","[0.5, 0.5, 0.5, 0.5, 0.3, 0.4]",0.001,128,"[3, 73, 71]","[1, 30, 15]",9,1,"[128, 64, 64]","[0.0001, 0.01, 0.01]",5089,0.7364240379686661,0.010054701977250705,0.25815229037960674,0.015361421296393134
34,120,1,"[32, 64, 128]","[0.1, 0.3, 0.2, 0.3, 0.1, 0.3]",0.01,64,"[16, 97, 97]","[92, 12, 2]",3,1,"[64, 32, 64]","[0.0001, 0.01, 0.0001]",4898,0.0,0.0,0.0,0.0
35,130,3,"[128, 128, 64]","[0.1, 0.2, 0.3, 0.2, 0.3, 0.3]",0.0001,64,"[108, 26, 117]","[5, 29, 7]",9,2,"[64, 32, 128]","[0.01, 0.01, 0.005]",814,0.6918847072175883,0.008937788724011487,0.2711012173111296,0.009405281438088536
36,80,2,"[64, 16, 32]","[0.5, 0.1, 0.1, 0.1, 0.4, 0.2]",0.01,128,"[65, 35, 16]","[1, 35, 14]",4,1,"[128, 64, 16]","[0.001, 0.0001, 0.01]",4901,0.0,0.0,0.0,0.0
37,100,1,"[128, 32, 128]","[0.3, 0.3, 0.2, 0.4, 0.1, 0.4]",0.005,128,"[34, 20, 98]","[47, 19, 3]",5,2,"[32, 128, 128]","[0.01, 0.001, 0.01]",1629,0.6931321155519822,0.016142425127693108,0.28132459574690644,0.013632919463106049
38,90,3,"[32, 64, 32]","[0.1, 0.1, 0.1, 0.4, 0.4, 0.5]",0.01,16,"[18, 56, 41]","[7, 15, 28]",6,2,"[128, 128, 16]","[0.0001, 0.005, 0.005]",3394,0.0,0.0,0.0,0.0
39,80,1,"[32, 64, 64]","[0.3, 0.5, 0.5, 0.3, 0.1, 0.5]",0.005,32,"[52, 34, 64]","[14, 37, 13]",8,2,"[128, 64, 32]","[0.001, 0.0001, 0.0005]",7613,0.7265281444857861,0.006014214269975172,0.2687247257884396,0.008848011352492512
40,90,1,"[128, 32, 16]","[0.4, 0.5, 0.2, 0.1, 0.2, 0.1]",0.0001,32,"[70, 29, 79]","[12, 40, 3]",1,2,"[32, 32, 128]","[0.01, 0.005, 0.0005]",2806,0.7044890508963682,0.005673213881914031,0.2742387771757024,0.0038978188063651716
41,90,3,"[32, 16, 128]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",0.0005,128,"[11, 78, 78]","[75, 4, 12]",2,1,"[16, 64, 32]","[0.0001, 0.001, 0.001]",3422,0.738467752293635,0.004733983409822102,0.2377871060075535,0.005630124931139229
42,130,1,"[128, 128, 64]","[0.4, 0.1, 0.3, 0.1, 0.3, 0.5]",0.001,16,"[106, 107, 79]","[14, 3, 20]",3,2,"[32, 16, 16]","[0.0005, 0.001, 0.005]",4166,0.7161809423880706,0.0028081112917679413,0.2570357514549661,0.008676809089490884
43,130,2,"[16, 64, 64]","[0.4, 0.2, 0.1, 0.3, 0.2, 0.3]",0.005,16,"[54, 46, 50]","[2, 16, 34]",5,2,"[16, 64, 16]","[0.0001, 0.0001, 0.0005]",5306,0.0,0.0,0.0,0.0
44,80,2,"[128, 128, 128]","[0.5, 0.1, 0.3, 0.3, 0.1, 0.5]",0.0001,16,"[57, 71, 75]","[17, 1, 5]",7,1,"[128, 32, 128]","[0.01, 0.001, 0.01]",4985,0.7577490548949756,0.0033828949704633187,0.2268794252912488,0.0027602540269948983
45,100,3,"[16, 128, 128]","[0.3, 0.2, 0.4, 0.1, 0.5, 0.4]",0.01,16,"[61, 64, 43]","[22, 10, 37]",1,1,"[128, 64, 128]","[0.001, 0.005, 0.005]",6424,0.0,0.0,0.0,0.0
46,110,1,"[64, 128, 64]","[0.4, 0.1, 0.5, 0.3, 0.2, 0.5]",0.001,32,"[79, 28, 66]","[9, 10, 13]",2,2,"[64, 64, 128]","[0.001, 0.01, 0.001]",546,0.7356394572454152,0.004050654311122624,0.25087935207734374,0.01723277112068385
47,110,1,"[64, 64, 64]","[0.2, 0.4, 0.1, 0.3, 0.3, 0.4]",0.0005,16,"[13, 67, 47]","[63, 29, 46]",7,1,"[64, 32, 16]","[0.005, 0.0005, 0.01]",3376,0.6726569002511394,0.01880177476158213,0.29908215402028854,0.019244208210598426
48,120,2,"[128, 16, 128]","[0.4, 0.1, 0.1, 0.3, 0.4, 0.1]",0.005,128,"[57, 25, 68]","[5, 90, 33]",4,2,"[128, 128, 128]","[0.005, 0.0001, 0.01]",3675,0.7468846717387216,0.008490411175430843,0.2634767552209271,0.021867094240978067
49,70,1,"[128, 64, 64]","[0.4, 0.5, 0.5, 0.3, 0.5, 0.1]",0.0001,32,"[42, 63, 59]","[15, 7, 7]",8,1,"[128, 64, 32]","[0.005, 0.005, 0.01]",217,0.7257173835268302,0.006628038391727051,0.2460755539185978,0.005409934877247518
50,90,3,"[16, 128, 16]","[0.4, 0.2, 0.5, 0.1, 0.5, 0.4]",0.01,16,"[9, 71, 87]","[22, 8, 4]",6,1,"[128, 16, 32]","[0.0005, 0.0005, 0.0001]",9870,0.0,0.0,0.0,0.0
51,120,2,"[128, 64, 128]","[0.5, 0.3, 0.3, 0.5, 0.3, 0.5]",0.01,32,"[19, 107, 112]","[38, 14, 3]",2,2,"[64, 16, 128]","[0.005, 0.0005, 0.0005]",8318,0.0,0.0,0.0,0.0
52,80,2,"[128, 32, 32]","[0.5, 0.1, 0.2, 0.2, 0.4, 0.4]",0.0005,64,"[21, 59, 41]","[29, 14, 38]",1,2,"[16, 128, 16]","[0.01, 0.01, 0.0005]",3034,0.731063220442601,0.007839100523864724,0.24216230189801302,0.003959468493873799
53,130,1,"[128, 32, 128]","[0.2, 0.3, 0.4, 0.5, 0.1, 0.4]",0.01,128,"[96, 123, 119]","[30, 1, 4]",9,1,"[128, 32, 32]","[0.0005, 0.0005, 0.005]",4450,0.6876787540779453,0.015885987274137377,0.29908020350319475,0.025890118663094326
54,140,2,"[32, 64, 16]","[0.4, 0.3, 0.1, 0.3, 0.4, 0.1]",0.0005,16,"[63, 90, 58]","[69, 5, 72]",9,2,"[16, 64, 32]","[0.0001, 0.001, 0.005]",3156,0.7398469066176245,0.005918736940092924,0.2626548969661428,0.009830137052690256
55,120,2,"[128, 32, 64]","[0.1, 0.4, 0.5, 0.5, 0.5, 0.2]",0.0005,16,"[80, 104, 3]","[12, 11, 35]",9,1,"[16, 16, 128]","[0.0005, 0.01, 0.01]",5441,0.7121835246072457,0.0015338065883940032,0.2611585968500236,0.0007930942020238962
56,110,2,"[16, 64, 128]","[0.4, 0.1, 0.5, 0.5, 0.5, 0.2]",0.005,32,"[83, 22, 74]","[25, 17, 25]",2,2,"[64, 64, 16]","[0.0001, 0.0001, 0.0005]",5986,0.0,0.0,0.0,0.0
57,120,3,"[16, 32, 16]","[0.5, 0.5, 0.5, 0.5, 0.3, 0.5]",0.0005,16,"[85, 118, 96]","[32, 3, 8]",4,2,"[64, 32, 128]","[0.0001, 0.0001, 0.005]",962,0.7297536135780606,0.0027902402098356344,0.33381854111084125,0.015229437236136094
58,140,3,"[128, 64, 64]","[0.1, 0.5, 0.3, 0.4, 0.4, 0.4]",0.0005,128,"[111, 8, 65]","[9, 45, 32]",7,1,"[128, 128, 64]","[0.001, 0.0005, 0.01]",1298,0.6858058749512446,0.01646098842037194,0.2791761466043546,0.015314964177914612
59,110,3,"[32, 128, 32]","[0.3, 0.2, 0.2, 0.1, 0.3, 0.5]",0.01,32,"[103, 60, 42]","[6, 42, 36]",7,1,"[16, 64, 64]","[0.0005, 0.001, 0.001]",4385,0.0,0.0,0.0,0.0
60,130,1,"[128, 64, 128]","[0.1, 0.5, 0.5, 0.2, 0.3, 0.3]",0.0005,16,"[76, 80, 8]","[45, 36, 77]",8,1,"[128, 64, 128]","[0.001, 0.001, 0.01]",8809,0.7226016459437932,0.014462264836540027,0.2516296530191199,0.006239928661169172
61,140,1,"[32, 32, 32]","[0.4, 0.2, 0.5, 0.3, 0.4, 0.2]",0.001,16,"[23, 10, 115]","[26, 69, 21]",7,2,"[16, 32, 32]","[0.0005, 0.0005, 0.001]",6016,0.7391241007166677,0.0011603964184279407,0.26401337481467896,0.011393475864181074
62,110,1,"[32, 128, 64]","[0.3, 0.5, 0.1, 0.3, 0.2, 0.2]",0.0005,16,"[58, 67, 76]","[47, 3, 33]",9,1,"[64, 64, 16]","[0.0005, 0.0005, 0.005]",2070,0.7224805418636308,0.0038048438624040597,0.252950835601948,0.004717932083315122
63,110,1,"[16, 16, 64]","[0.2, 0.3, 0.3, 0.1, 0.1, 0.4]",0.001,128,"[100, 74, 72]","[9, 17, 12]",9,1,"[64, 64, 32]","[0.0001, 0.0001, 0.001]",5635,0.7105914307348337,0.005366006195097456,0.25773819438488493,0.0027829239397029826
64,110,2,"[128, 64, 16]","[0.4, 0.3, 0.4, 0.5, 0.3, 0.5]",0.01,128,"[45, 23, 93]","[7, 25, 7]",6,2,"[128, 64, 128]","[0.0001, 0.01, 0.01]",3171,0.7425332851364352,0.0018556908738210027,0.3257833788884516,0.02442157981025813
